iter	RMSE
0	116.4026744
1	115.8711929
2	115.3358737
3	114.8850591
4	114.1826911
5	113.6826373
6	113.2377069
7	112.8228379
8	112.3922995
9	111.939321
10	111.4910603
11	111.1457328
12	110.7561756
13	110.4290972
14	110.091826
15	109.7244705
16	109.4704612
17	109.0937371
18	108.7690346
19	108.3698846
20	107.9307682
21	107.6627686
22	107.4718231
23	107.1447551
24	106.9110188
25	106.6060335
26	106.3506778
27	106.1151617
28	105.8407267
29	105.590383
30	105.3673113
31	105.1252945
32	104.900277
33	104.7869785
34	104.4823506
35	104.2215589
36	104.0610259
37	103.9658249
38	103.5985843
39	103.2948222
40	103.146006
41	102.8828868
42	102.6392797
43	102.4292757
44	102.2736525
45	102.1479958
46	101.9161704
47	101.7251447
48	101.6404255
49	101.3522842
