iter	Passed	Remaining
0	21	1045
1	26	628
2	29	455
3	32	370
4	35	315
5	38	279
6	41	254
7	44	236
8	48	218
9	50	202
10	53	189
11	56	177
12	59	169
13	62	160
14	64	150
15	66	142
16	71	138
17	77	138
18	82	134
19	86	130
20	91	125
21	95	121
22	97	114
23	99	108
24	101	101
25	103	95
26	106	90
27	108	85
28	110	80
29	113	75
30	115	71
31	120	67
32	123	63
33	125	59
34	127	54
35	129	50
36	132	46
37	135	42
38	137	38
39	140	35
40	142	31
41	144	27
42	146	23
43	147	20
44	149	16
45	151	13
46	152	9
47	154	6
48	156	3
49	157	0
